city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Beyneu,KZ,2022-01-26 00:40:27,45.3167,55.2,28.83,75,28,15.99
119,Parelhas,BR,2022-01-26 00:40:28,-6.6878,-36.6575,78.73,68,100,17.29
120,Yatou,CN,2022-01-26 00:40:28,37.15,122.3833,35.8,56,13,10.22
121,Tuktoyaktuk,CA,2022-01-26 00:40:29,69.4541,-133.0374,19.4,93,100,25.32
122,Dali,CN,2022-01-26 00:40:29,25.7,100.1833,43.23,84,73,3.31
123,Hasaki,JP,2022-01-26 00:40:29,35.7333,140.8333,39.6,85,100,19.37
124,Thompson,CA,2022-01-26 00:35:40,55.7435,-97.8558,-9.24,70,75,8.05
125,Sao Raimundo Das Mangabeiras,BR,2022-01-26 00:40:30,-7.0219,-45.4811,73.76,88,98,3.22
126,Sur,OM,2022-01-26 00:40:30,22.5667,59.5289,68.92,66,6,11.01
127,Touros,BR,2022-01-26 00:37:56,-5.1989,-35.4608,81.5,76,100,12.73
128,Sumbe,AO,2022-01-26 00:40:31,-11.2061,13.8437,75.69,91,100,4.74
129,San Jeronimo,PE,2022-01-26 00:40:31,-11.9472,-75.2829,53.1,82,99,4.38
130,Jacareacanga,BR,2022-01-26 00:40:32,-6.2222,-57.7528,74.21,98,100,2.3
131,Ilulissat,GL,2022-01-26 00:35:34,69.2167,-51.1,14.02,52,100,23.02
132,Koumac,NC,2022-01-26 00:40:32,-20.5667,164.2833,82.09,68,63,9.44
133,Ouesso,CG,2022-01-26 00:40:33,1.6136,16.0517,70.36,41,96,2.33
134,Nanortalik,GL,2022-01-26 00:40:33,60.1432,-45.2371,26.4,93,100,9.06
135,Hithadhoo,MV,2022-01-26 00:40:34,-0.6,73.0833,81.1,67,100,17.94
136,Camaqua,BR,2022-01-26 00:40:34,-30.8511,-51.8122,75.97,84,72,3.38
137,Sola,VU,2022-01-26 00:40:34,-13.8833,167.55,81.59,80,99,16.49
138,Vestmannaeyjar,IS,2022-01-26 00:40:35,63.4427,-20.2734,35.92,70,100,12.62
139,Agapovka,RU,2022-01-26 00:40:35,53.2973,59.1348,-1.19,98,14,1.3
140,Cherskiy,RU,2022-01-26 00:40:36,68.75,161.3,-42.43,99,75,5.32
141,Alta Floresta,BR,2022-01-26 00:41:36,-9.8756,-56.0861,72.05,95,90,2.19
142,Chabahar,IR,2022-01-26 00:41:36,25.2919,60.643,66.11,35,0,3.02
143,Faya,SA,2022-01-26 00:41:37,18.3851,42.4509,51.91,81,22,4.14
144,Yuanping,CN,2022-01-26 00:41:37,38.7153,112.7575,27.95,41,100,2.86
145,Yongan,CN,2022-01-26 00:41:38,39.6957,113.6871,18.1,58,100,2.21
146,Mayskiy,RU,2022-01-26 00:41:38,47.6931,40.1025,24.44,99,97,4.63
147,Tasiilaq,GL,2022-01-26 00:41:38,65.6145,-37.6368,12.36,72,16,8.3
148,Provideniya,RU,2022-01-26 00:41:39,64.3833,-173.3,-7.49,64,0,4.47
149,Berlevag,NO,2022-01-26 00:41:39,70.8578,29.0864,31.42,65,100,27.36
150,Jamestown,US,2022-01-26 00:38:39,42.097,-79.2353,18.72,85,100,8.05
151,Oussouye,SN,2022-01-26 00:41:40,12.485,-16.5469,77.18,15,100,7.25
152,Georgetown,MY,2022-01-26 00:39:36,5.4112,100.3354,80.53,93,20,5.01
153,Carnarvon,AU,2022-01-26 00:41:40,-24.8667,113.6333,80.67,65,0,14.97
154,Iqaluit,CA,2022-01-26 00:41:41,63.7506,-68.5145,-20.47,76,75,0.0
155,General Pico,AR,2022-01-26 00:41:41,-35.6566,-63.7568,78.91,77,83,4.32
156,Merano,IT,2022-01-26 00:41:41,46.6682,11.1595,50.7,57,0,6.96
157,Esperance,AU,2022-01-26 00:41:42,-33.8667,121.9,66.04,79,100,13.29
158,Krutikha,RU,2022-01-26 00:41:42,53.9599,81.2093,6.39,96,100,8.59
159,Norman Wells,CA,2022-01-26 00:41:43,65.282,-126.8329,37.2,78,100,19.62
160,Sitka,US,2022-01-26 00:41:43,57.0531,-135.33,39.09,87,100,4.61
161,Khatanga,RU,2022-01-26 00:41:43,71.9667,102.5,-2.97,86,80,13.24
162,Cidreira,BR,2022-01-26 00:41:44,-30.1811,-50.2056,77.5,87,74,17.16
163,Ketchikan,US,2022-01-26 00:38:28,55.3422,-131.6461,42.78,93,100,6.91
164,Chernyshevskiy,RU,2022-01-26 00:41:44,63.0128,112.4714,-21.68,100,96,3.02
165,Zemen,BG,2022-01-26 00:41:45,42.4789,22.7492,14.18,79,19,3.51
166,Husavik,IS,2022-01-26 00:41:45,66.0449,-17.3389,33.71,93,100,23.98
167,Laguna,US,2022-01-26 00:41:45,38.421,-121.4238,66.33,58,0,3.0
168,Shache,CN,2022-01-26 00:41:46,38.4167,77.2406,30.7,55,74,0.58
169,Tessalit,ML,2022-01-26 00:41:46,20.1986,1.0114,61.54,17,100,10.47
170,Kommunar,RU,2022-01-26 00:41:47,59.6206,30.39,15.33,97,45,4.61
171,Mason City,US,2022-01-26 00:41:47,43.1536,-93.201,-5.42,75,0,10.36
172,Octeville,FR,2022-01-26 00:41:47,49.6261,-1.6435,41.49,81,100,5.75
173,Poum,NC,2022-01-26 00:41:48,-20.2333,164.0167,80.69,72,13,9.6
174,Olga,RU,2022-01-26 00:41:48,43.7444,135.2892,22.86,57,100,3.62
175,Makakilo City,US,2022-01-26 00:41:49,21.3469,-158.0858,79.12,57,100,14.97
176,Chuy,UY,2022-01-26 00:41:49,-33.6971,-53.4616,74.44,95,100,3.42
177,Saskylakh,RU,2022-01-26 00:41:49,71.9167,114.0833,10.33,85,100,19.24
178,Pevek,RU,2022-01-26 00:41:50,69.7008,170.3133,-33.25,100,75,3.6
179,Tuatapere,NZ,2022-01-26 00:41:50,-46.1333,167.6833,55.81,90,91,6.06
180,Dikson,RU,2022-01-26 00:41:51,73.5069,80.5464,11.59,92,100,30.04
181,Olinda,BR,2022-01-26 00:41:51,-8.0089,-34.8553,82.13,69,40,8.05
182,Vanimo,PG,2022-01-26 00:38:08,-2.6741,141.3028,85.08,67,70,3.2
183,Asau,RO,2022-01-26 00:41:51,46.4333,26.4,22.28,77,95,7.7
