City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Bonthe,SL,7.5264,-12.505,75.51,85,89,2.86,overcast clouds
199,Hithadhoo,MV,-0.6,73.0833,81.05,68,55,3.51,broken clouds
200,Sinnamary,GF,5.3833,-52.95,75.45,88,25,7.58,scattered clouds
201,North Bend,US,43.4065,-124.2243,46.94,99,0,0.0,clear sky
202,Lovozero,RU,68.005,35.0117,-6.2,100,73,3.69,broken clouds
203,Santa Rosa,PH,14.3122,121.1114,89.1,65,45,10.36,scattered clouds
204,Maun,BW,-19.9833,23.4167,67.37,94,100,6.24,light rain
205,Jardim,BR,-21.4803,-56.1381,76.71,76,100,2.8,overcast clouds
206,Ayr,GB,55.4627,-4.6339,40.1,93,97,4.61,overcast clouds
207,Whitehorse,CA,60.7161,-135.0538,18.37,79,100,4.61,light snow
208,Honolulu,US,21.3069,-157.8583,78.62,66,20,10.36,few clouds
209,Ancud,CL,-41.8697,-73.8203,56.73,88,100,9.64,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,70.56,73,76,11.18,broken clouds
211,Norman Wells,CA,65.282,-126.8329,-21.93,98,100,3.56,overcast clouds
212,Linjiang,CN,41.8069,126.9078,20.97,60,11,2.35,few clouds
213,Carnarvon,AU,-24.8667,113.6333,84.27,70,61,17.27,light rain
214,Langenburg,DE,49.2544,9.8458,43.84,90,100,17.27,overcast clouds
215,Noshiro,JP,40.2039,140.0242,28.06,77,100,20.07,light snow
216,Koumac,NC,-20.5667,164.2833,84.18,71,87,8.77,overcast clouds
217,Kahului,US,20.8947,-156.47,77.02,62,0,3.44,clear sky
218,Yerbogachen,RU,61.2767,108.0108,-2.04,94,100,4.76,overcast clouds
219,Yenagoa,NG,4.9247,6.2642,71.2,69,100,4.79,overcast clouds
220,Vardo,NO,70.3705,31.1107,23.65,77,84,4.56,broken clouds
221,Santa Cruz Del Norte,CU,23.1539,-81.9236,63.34,58,95,19.86,overcast clouds
222,Port Elizabeth,ZA,-33.918,25.5701,66.49,94,75,5.75,broken clouds
223,Laguna,US,38.421,-121.4238,54.1,74,0,0.0,clear sky
224,Ahipara,NZ,-35.1667,173.1667,75.52,53,58,3.53,broken clouds
225,Wanaka,NZ,-44.7,169.15,73.2,42,100,3.94,overcast clouds
226,Mutuipe,BR,-13.2286,-39.5047,71.29,94,100,2.3,overcast clouds
227,Stokmarknes,NO,68.5646,14.9108,29.5,73,100,3.2,overcast clouds
228,Te Anau,NZ,-45.4167,167.7167,64.53,71,100,1.28,overcast clouds
229,Henties Bay,NA,-22.116,14.2845,63.86,85,77,4.47,broken clouds
230,Fallon,US,39.4735,-118.7774,26.47,54,0,4.61,clear sky
231,Asadabad,IR,34.7824,48.1185,17.55,77,2,1.16,clear sky
232,Yacuiba,BO,-22.038,-63.6797,67.41,66,9,4.47,clear sky
